match_id,team,total_xG,shot_count,avg_shot_xG,goals,rolling_xG,rolling_shots,rolling_conversion,h_a
26766,Brentford,0.769004439,7,0.109857777,0,1.5129676666,9.8,0.20408163265306123,h
26774,Brentford,0.961233008,8,0.120154126,0,1.2611813826,8.8,0.13636363636363635,a
26783,Brentford,0.27601845,5,0.05520369000000001,1,1.0898527298,8.0,0.15,h
26799,Brentford,5.732756272,20,0.28663781359999996,5,1.8872041673999997,9.8,0.14285714285714285,a
26803,Brentford,2.394373085,18,0.13302072694444445,2,2.0266770507999996,11.6,0.13793103448275862,h
26813,Brentford,1.200211747,11,0.10911015881818181,0,2.1129185123999994,12.4,0.12903225806451613,h
26825,Brentford,1.920367423,13,0.147720571,2,2.3047453954,13.4,0.14925373134328357,a
26834,Brentford,1.669067581,21,0.07947940861904762,0,2.5833552215999998,16.6,0.10843373493975904,h
26851,Brentford,1.9649915420000001,14,0.14035653871428572,1,1.8298022755999999,15.4,0.06493506493506493,a
26858,Brentford,2.068534717,14,0.1477524797857143,4,1.7646346019999999,14.6,0.0958904109589041,a
26862,Brentford,1.718245274,12,0.14318710616666666,1,1.8682413074,14.8,0.10810810810810811,h
26872,Brentford,0.650957215,13,0.05007363192307693,0,1.6143592657999999,14.8,0.08108108108108109,h
26882,Brentford,0.0,11,0.0,2,1.2805457496,12.8,0.125,a
26899,Brentford,1.536313712,12,0.12802614266666668,1,1.1948101836,12.4,0.12903225806451613,a
26903,Brentford,1.361233677,9,0.15124818633333334,0,1.0533499755999998,11.4,0.07017543859649122,h
21931,Brighton,1.377,15,0.0918,3,1.377,15.0,0.2,h
21940,Brighton,1.94,10,0.194,3,1.6585,12.5,0.24,a
21951,Brighton,2.151,13,0.16546153846153844,2,1.8226666666666667,12.666666666666666,0.21052631578947367,h
21955,Brighton,1.7289999999999999,12,0.1440833333333333,1,1.79925,12.5,0.18,a
21966,Brighton,2.234,14,0.15957142857142856,2,1.8862,12.8,0.171875,h
21980,Brighton,0.963,5,0.1926,1,1.8034,10.8,0.16666666666666666,a
21988,Brighton,1.33,18,0.07388888888888889,1,1.6814,12.4,0.11290322580645161,h
21997,Brighton,0.442,7,0.06314285714285714,0,1.3396000000000001,11.2,0.08928571428571429,a
22008,Brighton,1.088,12,0.09066666666666667,1,1.2114,11.2,0.08928571428571429,h
22022,Brighton,1.22,11,0.1109090909090909,3,1.0086,10.6,0.11320754716981132,a
22029,Brighton,0.855,18,0.0475,2,0.9870000000000001,13.2,0.10606060606060606,a
22036,Brighton,1.543,18,0.08572222222222221,2,1.0295999999999998,13.2,0.12121212121212122,h
22046,Brighton,2.962,29,0.10213793103448277,1,1.5336,17.6,0.10227272727272728,h
