match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
22191,Home,3.82,0.159166667,24,4,0.166666667,Newcastle United,West Ham,Newcastle United
22192,Away,0.9,0.09,10,1,0.1,Nottingham Forest,Crystal Palace,Crystal Palace
22192,Home,0.785,0.065416667,12,1,0.083333333,Nottingham Forest,Crystal Palace,Nottingham Forest
22193,Away,1.12,0.046666667,24,3,0.125,Sheffield United,Fulham,Fulham
22193,Home,1.787,0.223375,8,3,0.375,Sheffield United,Fulham,Sheffield United
22194,Away,0.403,0.050375,8,1,0.125,Tottenham,Luton,Luton
22194,Home,2.538,0.149294118,17,1,0.058823529,Tottenham,Luton,Tottenham
22195,Away,0.175,0.058333333,3,0,0,Bournemouth,Crystal Palace,Crystal Palace
22195,Home,1.311,0.119181818,11,1,0.090909091,Bournemouth,Crystal Palace,Bournemouth
22196,Away,0.291,0.0485,6,0,0,Arsenal,Luton,Luton
22196,Home,1.194,0.091846154,13,1,0.076923077,Arsenal,Luton,Arsenal
22197,Away,1.01,0.12625,8,1,0.125,Burnley,Wolverhampton Wanderers,Wolverhampton Wanderers
22197,Home,1.127,0.086692308,13,1,0.076923077,Burnley,Wolverhampton Wanderers,Burnley
22198,Away,1.054,0.062,17,1,0.058823529,Nottingham Forest,Fulham,Fulham
22198,Home,1.947,0.1216875,16,3,0.1875,Nottingham Forest,Fulham,Nottingham Forest
22199,Away,1.395,0.107307692,13,1,0.076923077,West Ham,Tottenham,Tottenham
22199,Home,1.469,0.133545455,11,1,0.090909091,West Ham,Tottenham,West Ham
22200,Away,1.236,0.0515,24,0,0,Brentford,Brighton,Brighton
22200,Home,0.423,0.0846,5,0,0,Brentford,Brighton,Brentford
22201,Away,1.569,0.082578947,19,3,0.157894737,Chelsea,Manchester United,Manchester United
22201,Home,3.483,0.124392857,28,4,0.142857143,Chelsea,Manchester United,Chelsea
22202,Away,1.698,0.1698,10,1,0.1,Newcastle United,Everton,Everton
22202,Home,2.696,0.158588235,17,1,0.058823529,Newcastle United,Everton,Newcastle United
22203,Away,0.721,0.1442,5,0,0,Liverpool,Sheffield United,Sheffield United
22203,Home,2.519,0.083966667,30,3,0.1,Liverpool,Sheffield United,Liverpool
22204,Away,1.186,0.14825,8,1,0.125,Manchester City,Aston Villa,Aston Villa
22204,Home,3.949,0.15796,25,4,0.16,Manchester City,Aston Villa,Manchester City
22205,Away,1.445,0.180625,8,3,0.375,Aston Villa,Brentford,Brentford
22205,Home,1.169,0.106272727,11,3,0.272727273,Aston Villa,Brentford,Aston Villa
22206,Away,4.166,0.2083,20,3,0.15,Brighton,Arsenal,Arsenal
22206,Home,0.429,0.0429,10,0,0,Brighton,Arsenal,Brighton
22207,Away,2.264,0.125777778,18,4,0.222222222,Crystal Palace,Manchester City,Manchester City
22207,Home,1.494,0.213428571,7,2,0.285714286,Crystal Palace,Manchester City,Crystal Palace
22208,Away,0.35,0.058333333,6,0,0,Everton,Burnley,Burnley
22208,Home,0.66,0.055,12,1,0.083333333,Everton,Burnley,Everton
22209,Away,1.208,0.100666667,12,1,0.083333333,Fulham,Newcastle United,Newcastle United
22209,Home,0.839,0.059928571,14,0,0,Fulham,Newcastle United,Fulham
22210,Away,0.616,0.077,8,1,0.125,Luton,Bournemouth,Bournemouth
22210,Home,1.307,0.068789474,19,2,0.105263158,Luton,Bournemouth,Luton
22211,Away,4.457,0.159178571,28,2,0.071428571,Manchester United,Liverpool,Liverpool
22211,Home,0.814,0.090444444,9,2,0.222222222,Manchester United,Liverpool,Manchester United
22212,Away,0.523,0.087166667,6,2,0.333333333,Sheffield United,Chelsea,Chelsea
22212,Home,1.744,0.158545455,11,2,0.181818182,Sheffield United,Chelsea,Sheffield United
